time,open,high,low,close,volume
2023-01-01 00:00:00,1823.50,1829.45,1818.20,1824.65,1100
2023-01-01 01:00:00,1824.65,1831.22,1819.38,1825.96,1137
2023-01-01 02:00:00,1825.96,1833.09,1820.79,1827.42,1174
2023-01-01 03:00:00,1827.42,1835.00,1822.42,1829.02,1211
2023-01-01 04:00:00,1829.02,1836.91,1824.23,1830.75,1248
2023-01-01 05:00:00,1830.75,1838.76,1826.20,1832.57,1285
2023-01-01 06:00:00,1832.57,1840.54,1828.29,1834.46,1322
2023-01-01 07:00:00,1834.46,1842.22,1830.07,1836.40,1359
2023-01-01 08:00:00,1836.40,1843.79,1831.75,1838.35,1396
2023-01-01 09:00:00,1838.35,1845.28,1833.46,1840.28,1433
2023-01-01 10:00:00,1840.28,1847.23,1835.20,1842.16,1470
2023-01-01 11:00:00,1842.16,1849.46,1836.94,1843.96,1507
2023-01-01 12:00:00,1843.96,1851.51,1838.67,1845.65,1124
2023-01-01 13:00:00,1845.65,1853.31,1840.35,1847.21,1161
2023-01-01 14:00:00,1847.21,1854.83,1841.98,1848.63,1198
2023-01-01 15:00:00,1848.63,1856.03,1843.52,1849.89,1235
2023-01-01 16:00:00,1849.89,1856.93,1844.97,1850.99,1272
2023-01-01 17:00:00,1850.99,1857.55,1846.30,1851.94,1309
2023-01-01 18:00:00,1851.94,1857.93,1847.51,1852.73,1346
2023-01-01 19:00:00,1852.73,1858.27,1848.49,1853.40,1383
2023-01-01 20:00:00,1853.40,1859.26,1848.88,1853.94,1420
2023-01-01 21:00:00,1853.94,1860.11,1849.18,1854.39,1457
2023-01-01 22:00:00,1854.39,1860.80,1849.41,1854.78,1494
2023-01-01 23:00:00,1854.78,1861.31,1849.63,1855.14,1111
2023-01-02 00:00:00,1855.14,1861.67,1849.88,1855.49,1148
2023-01-02 01:00:00,1855.49,1861.91,1850.19,1855.87,1185
2023-01-02 02:00:00,1855.87,1862.08,1850.60,1856.32,1222
2023-01-02 03:00:00,1856.32,1862.22,1851.13,1856.85,1259
2023-01-02 04:00:00,1856.85,1862.42,1851.82,1857.49,1296
2023-01-02 05:00:00,1857.49,1863.41,1852.67,1858.27,1333
2023-01-02 06:00:00,1858.27,1864.76,1853.69,1859.20,1370
2023-01-02 07:00:00,1859.20,1866.18,1854.88,1860.28,1407
2023-01-02 08:00:00,1860.28,1867.65,1855.92,1861.52,1444
2023-01-02 09:00:00,1861.52,1869.12,1856.90,1862.92,1481
