time,open,high,low,close,volume
2023-01-05T00:00:00Z,2048.10,2051.20,2046.80,2050.90,1000
2023-01-05T00:15:00Z,2050.90,2053.70,2049.40,2052.80,1040
2023-01-05T00:30:00Z,2052.80,2055.10,2051.30,2054.60,980
2023-01-05T00:45:00Z,2054.60,2056.40,2052.70,2053.20,1110
2023-01-05T01:00:00Z,2053.20,2054.30,2049.90,2050.40,1250
2023-01-05T01:15:00Z,2050.40,2052.00,2047.80,2048.60,1175
2023-01-05T01:30:00Z,2048.60,2051.50,2046.90,2050.70,1160
2023-01-05T01:45:00Z,2050.70,2054.90,2050.10,2054.20,1215
2023-01-05T02:00:00Z,2054.20,2058.40,2053.70,2057.90,1310
2023-01-05T02:15:00Z,2057.90,2060.20,2056.80,2059.50,1275
2023-01-05T02:30:00Z,2059.50,2062.10,2058.20,2061.60,1330
2023-01-05T02:45:00Z,2061.60,2063.00,2059.10,2060.40,1220
2023-01-05T03:00:00Z,2060.40,2061.70,2057.50,2058.30,1190
2023-01-05T03:15:00Z,2058.30,2060.80,2056.40,2059.90,1185
2023-01-05T03:30:00Z,2059.90,2064.20,2059.30,2063.70,1400
2023-01-05T03:45:00Z,2063.70,2066.10,2062.80,2065.40,1420
2023-01-05T04:00:00Z,2065.40,2068.30,2064.60,2067.80,1385
2023-01-05T04:15:00Z,2067.80,2070.60,2066.90,2069.30,1360
2023-01-05T04:30:00Z,2069.30,2071.20,2065.70,2066.40,1450
2023-01-05T04:45:00Z,2066.40,2067.50,2062.40,2063.10,1500
